patient	malignancy_status	condition	gene	n_cells	pseudobulk_raw_umi	pseudobulk_library_size	pseudobulk_normalized_expression	fraction_expressing	mean_normalized_per_cell	median_normalized_per_cell	mean_normalized_positive_cells_only	median_normalized_positive_cells_only
Tumor_06	malignant	Tamoxifen	CITED2	19	2.0	218152.0	3.345952624902562	0.10526315789473684	0.1018822619618638	0.0	0.9678814886377061	0.9678814886377061
Tumor_06	non-malignant epithelial	Control	USP34	4524	5783.0	83729038.0	6.130684501243425	0.6085322723253758	0.4361163578993056	0.4533294790025225	0.716669234702673	0.659844813238352
Tumor_06	non-malignant epithelial	Control	VEZF1	4524	4126.0	83729038.0	5.651855516574067	0.4942528735632184	0.32068914843863633	0.0	0.6488361840502641	0.6060525011555075
Tumor_06	non-malignant epithelial	Control	EML5	4524	20.0	83729038.0	0.30901986546538324	0.004420866489832007	0.0018977425527484494	0.0	0.42926936543169925	0.450960555247995
Tumor_06	non-malignant epithelial	Control	CITED2	4524	1691.0	83729038.0	4.405726914018893	0.22944297082228116	0.1324794963204787	0.0	0.5773961862753813	0.5337370762150135
Tumor_06	non-malignant epithelial	Tamoxifen	USP34	3403	5071.0	66557972.0	6.2703274822796	0.677343520423156	0.49535263010278985	0.522282377557377	0.7313167029239886	0.672623326196422
Tumor_06	non-malignant epithelial	Tamoxifen	VEZF1	3403	3610.0	66557972.0	5.787600447613885	0.5474581251836614	0.35929430052437156	0.314252418800107	0.656295493657776	0.610008540942059
Tumor_06	non-malignant epithelial	Tamoxifen	EML5	3403	49.0	66557972.0	0.7959334096613749	0.013517484572436086	0.006252553264371029	0.0	0.46255301649249164	0.43935014114850146
Tumor_06	non-malignant epithelial	Tamoxifen	CITED2	3403	1696.0	66557972.0	4.72691542381346	0.26623567440493684	0.15549016710971866	0.0	0.5840320515169676	0.5219418754504095
Tumor_07	all_epithelial	Control	USP34	360	890.0	15905488.0	5.831764002198482	0.7444444444444445	0.43295118756573714	0.3730025957866935	0.5815762221032288	0.5391291278528716
Tumor_07	all_epithelial	Control	VEZF1	360	422.0	15905488.0	4.783022988979671	0.5472222222222223	0.22804100393433657	0.1314800954392615	0.416724677240412	0.312627981363953
Tumor_07	all_epithelial	Control	EML5	360	10.0	15905488.0	0.7037331246901704	0.027777777777777776	0.005951252103463125	0.0	0.2142450757246725	0.1257083872748155
Tumor_07	all_epithelial	Control	CITED2	360	453.0	15905488.0	4.881700622912129	0.4888888888888889	0.25172551221393685	0.0	0.5148930931648708	0.4295253118743635
Tumor_07	all_epithelial	Tamoxifen	USP34	446	1103.0	25617186.0	5.461300406222863	0.8026905829596412	0.3664618781092101	0.339568080648665	0.45654189283996555	0.41501984772553846
Tumor_07	all_epithelial	Tamoxifen	VEZF1	446	511.0	25617186.0	4.388709347748755	0.5672645739910314	0.17910785313082403	0.1025835798861505	0.3157395355586859	0.238313161723532
Tumor_07	all_epithelial	Tamoxifen	EML5	446	17.0	25617186.0	0.7343233285154729	0.03587443946188341	0.005592332682186503	0.0	0.1558862735159488	0.1197257198357185
Tumor_07	all_epithelial	Tamoxifen	CITED2	446	812.0	25617186.0	5.0311071312519555	0.5650224215246636	0.2437300779169524	0.126664585104737	0.43136355059905074	0.31689825424187446
Tumor_07	malignant	Control	USP34	80	187.0	3397189.0	5.808526885130745	0.75	0.47651032014029937	0.3779555729010275	0.6353470935203993	0.577996571315872
Tumor_07	malignant	Control	VEZF1	80	91.0	3397189.0	4.79633051024205	0.55	0.21257774567246218	0.1019461256258727	0.38650499213174944	0.28971761699973
Tumor_07	malignant	Control	EML5	80	1.0	3397189.0	0.3722400601287665	0.0125	0.00295240563482535	0.0	0.236192450786028	0.236192450786028
Tumor_07	malignant	Control	CITED2	80	88.0	3397189.0	4.749736405832819	0.5	0.25236087080980674	0.052150641330597	0.5047217416196135	0.4546589393920585
Tumor_07	malignant	Tamoxifen	USP34	146	384.0	8697423.0	5.496686318968018	0.8493150684931506	0.3644683422196971	0.34053777757845305	0.4291320803554498	0.3858148027173115
Tumor_07	malignant	Tamoxifen	VEZF1	146	176.0	8697423.0	4.408431925522873	0.589041095890411	0.18354259561773528	0.1270075864955725	0.3115955693045273	0.2324020383916855
