gene_id	gene_symbol	log2fc	se	moderated_t	p_value	fdr	ave_expr	contrast	direction	crispr_direction	evidence_class	is_gate1_hit
ENSG00000162670	BRINP3	-3.56070466939806	0.119219592407208	-29.8667743908742	2.4964421121395298e-11	2.3151380037454e-08	1.31638437295398	TAMR_vs_MCF7	down			False
ENSG00000175356	SCUBE2	-6.03094741796443	0.203283286163506	-29.6676993558319	2.6722026675062498e-11	2.33236136355634e-08	2.39705957828673	TAMR_vs_MCF7	down			False
ENSG00000132170	PPARG	4.58426124540051	0.159002307315237	28.8314133474289	3.5739872744023e-11	2.65154115887906e-08	2.7146269235775	TAMR_vs_MCF7	up			False
ENSG00000164683	HEY1	4.36847814689592	0.151294060606949	28.8740888397787	3.5206474846741696e-11	2.65154115887906e-08	2.00369872218953	TAMR_vs_MCF7	up			False
ENSG00000182902	SLC25A18	4.08720421364181	0.140312381926083	29.1293195763361	3.21930047055775e-11	2.65154115887906e-08	1.51637035774262	TAMR_vs_MCF7	up			False
ENSG00000207422	RNU6-813P	-5.83420198844525	0.205057394675013	-28.4515561981642	4.08978876183527e-11	2.88972788800532e-08	1.94473399614842	TAMR_vs_MCF7	down			False
ENSG00000166823	MESP1	-3.81371716476323	0.139457473511269	-27.3468109577868	6.11531996277702e-11	3.96248705533124e-08	1.72428226048053	TAMR_vs_MCF7	down			False
ENSG00000138650	PCDH10	-3.36895242924421	0.123246737038096	-27.335023305346	6.1421486907008e-11	3.96248705533124e-08	1.15403789826871	TAMR_vs_MCF7	down			False
ENSG00000187678	SPRY4	5.07151582384541	0.187396664070169	27.0629994883283	6.798552811071579e-11	4.06453741983047e-08	2.27978572556946	TAMR_vs_MCF7	up			False
ENSG00000128512	DOCK4	3.79314427802852	0.140260269381338	27.0436118136617	6.84818947942861e-11	4.06453741983047e-08	1.50497297006522	TAMR_vs_MCF7	up			False
ENSG00000149948	HMGA2	3.61626620843299	0.135762723897035	26.6366650920737	7.987365197035509e-11	4.55832787667742e-08	1.25372257981795	TAMR_vs_MCF7	up			False
ENSG00000232638	RP11-379F12.4	-5.19585099531788	0.198275379310975	-26.2052253455469	9.42644821869308e-11	4.9988206787764e-08	2.87498825642996	TAMR_vs_MCF7	down			False
ENSG00000254337	RP11-865I6.2	-4.20125816160754	0.16033238768959	-26.2034279046686	9.433008424702729e-11	4.9988206787764e-08	1.40041938720251	TAMR_vs_MCF7	down			False
ENSG00000102683	SGCG	-4.11446948022505	0.157656249422145	-26.0977252427719	9.82773832756063e-11	5.02841314842568e-08	1.68490529945399	TAMR_vs_MCF7	down			False
ENSG00000198467	TPM2	5.02867692457096	0.19638175078868	25.6066406597127	1.19150770757696e-10	5.73911545940149e-08	4.95395763307144	TAMR_vs_MCF7	up			False
ENSG00000152402	GUCY1A2	4.30313701311604	0.168152120630158	25.5907388916049	1.19903342257343e-10	5.73911545940149e-08	1.53380766406141	TAMR_vs_MCF7	up			False
ENSG00000214274	ANG	3.58162668180838	0.140741626959562	25.4482398646525	1.26884639045025e-10	5.88348210671899e-08	2.17338856631499	TAMR_vs_MCF7	up			False
ENSG00000116016	EPAS1	5.9473037686576	0.235625205666736	25.2405244669339	1.37871850588955e-10	6.14437686554188e-08	4.58786045895981	TAMR_vs_MCF7	up			False
ENSG00000185499	MUC1	-3.89062654403548	0.15446139280108	-25.1883430123276	1.407931078504e-10	6.14437686554188e-08	6.62266838333276	TAMR_vs_MCF7	down			False
ENSG00000174343	CHRNA9	4.99668883664174	0.199275425417749	25.074285131581	1.47417382138113e-10	6.2496546176152e-08	1.67191164603542	TAMR_vs_MCF7	up			False
ENSG00000135373	EHF	4.87210349038114	0.195351081934411	24.940243187478	1.55642225398835e-10	6.41505372352197e-08	3.57488512356071	TAMR_vs_MCF7	up			False
ENSG00000145451	GLRA3	4.01963428575892	0.162004529879504	24.8118635247339	1.63993142684246e-10	6.57656824634822e-08	1.83689278206064	TAMR_vs_MCF7	up			False
ENSG00000171791	BCL2	-4.16735972960261	0.172101380401405	-24.2145630667387	2.09870667495274e-10	8.1948972744602e-08	1.51033954400296	TAMR_vs_MCF7	down			False
ENSG00000226945	RP11-564A8.4	-3.82822391453662	0.160673460162111	-23.8261123565408	2.4717398831403e-10	9.40401958616301e-08	1.37195250349577	TAMR_vs_MCF7	down			False
ENSG00000253768	CTB-33O18.1	-2.77610802921719	0.117309608911669	-23.6647965582045	2.6475169271171004e-10	9.82096404114087e-08	0.934709816937784	TAMR_vs_MCF7	down			False
ENSG00000073792	IGF2BP2	4.48788597862747	0.191609996515727	23.4219824656126	2.93846805226279e-10	1.06343875510915e-07	2.25958721174737	TAMR_vs_MCF7	up			False
ENSG00000248771	LINC01207	2.91094428375407	0.128314668034315	22.6859822680257	4.05695523716254e-10	1.43326432878614e-07	0.976694891463387	TAMR_vs_MCF7	up			False
ENSG00000273445	RP11-1399P15.1	-4.11650592635267	0.183753661730624	-22.4023069123232	4.60642675792715e-10	1.55341273259371e-07	2.84376511338148	TAMR_vs_MCF7	down			False
ENSG00000130294	KIF1A	3.4693665645769	0.154737767670258	22.4209423259228	4.56793274024735e-10	1.55341273259371e-07	1.55993451824268	TAMR_vs_MCF7	up			False
ENSG00000151655	ITIH2	4.51901563580923	0.203980109277223	22.1541975431907	5.15425973654898e-10	1.5607939994064e-07	1.6657139314085	TAMR_vs_MCF7	up			False
ENSG00000139352	ASCL1	-4.41773162510754	0.198635226074612	-22.2404238785327	4.95617385157677e-10	1.5607939994064e-07	1.51208461023168	TAMR_vs_MCF7	down			False
ENSG00000115844	DLX2	4.09946036442767	0.184980930015879	22.1615296456547	5.13708292620808e-10	1.5607939994064e-07	2.3821597465919	TAMR_vs_MCF7	up			False
