gene	n_datasets_testable	coverage_tier	max_evidence_percentile	max_percentile_dataset	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_evidence_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile
MT-TP	1	E	0.996293688150921	gse111151_evidence_percentile					0.996293688150921
MGC32805	1	E	0.9962195619139395	gse111151_evidence_percentile					0.9962195619139395
AC034213.1	1	E	0.996219281663516	gse245601_evidence_percentile			0.996219281663516		
RP5-1059L7.1	1	E	0.9961904761904762	gse118713_evidence_percentile		0.9961904761904762			
MUC19	1	E	0.9961454356769579	gse111151_evidence_percentile					0.9961454356769579
SSTR5-AS1	2	D	0.9961224489795918	gse118713_evidence_percentile		0.9961224489795918		0.995224398979758	
AL138826.1	1	E	0.9960384218809356	gse240112_evidence_percentile				0.9960384218809356	
RP11-459E5.1	2	D	0.9957142857142857	gse118713_evidence_percentile		0.9957142857142857			0.9316185463844928
AC132217.4	1	E	0.9957006782550684	gse111151_evidence_percentile					0.9957006782550684
RNA5SP85	1	E	0.9956636151365776	gse111151_evidence_percentile					0.9956636151365776
PRICKLE2-AS1	1	E	0.9956462585034014	gse118713_evidence_percentile		0.9956462585034014			
DCD	2	D	0.995589488899596	gse111151_evidence_percentile	0.5460161239660768				0.995589488899596
CYP2B7P	1	E	0.9955524257811053	gse111151_evidence_percentile					0.9955524257811053
ANKRD20A1	2	D	0.9955153626626144	gse111151_evidence_percentile	0.1524447701811329				0.9955153626626144
SCGN	2	D	0.9954782995441236	gse111151_evidence_percentile	0.725526122919066				0.9954782995441236
RP11-662G23.1	2	D	0.9953300470701605	gse111151_evidence_percentile		0.9897278911564625			0.9953300470701605
ASZ1	2	D	0.9952559208331789	gse111151_evidence_percentile	0.2721704533556696				0.9952559208331789
AC005307.1	1	E	0.9952188577146881	gse111151_evidence_percentile					0.9952188577146881
C2CD4B	2	D	0.9952107141541002	gse245601_evidence_percentile	0.8792273060412522		0.9952107141541002		
KLF17	2	D	0.9951076683592157	gse111151_evidence_percentile	0.8793320071196733				0.9951076683592157
SNORD116-13	1	E	0.995070605240725	gse111151_evidence_percentile					0.995070605240725
RP11-158G18.1	1	E	0.9950335421222342	gse111151_evidence_percentile					0.9950335421222342
TMEM239	1	E	0.9949743482357868	crispr_evidence_percentile	0.9949743482357868				
