gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
RP11-415F23.4	2	0	0.20914552997359945	0.20914552997359945	18021
TBCA	4	0	0.2090545862217998	0.2761301857334477	18022
MSTO1	4	0	0.2089552763635437	0.22841458233908726	18023
NNT	4	0	0.20895065682867575	0.23721747957319345	18024
RPL41P2	2	0	0.20891697659754016	0.20891697659754016	18025
BTBD10	4	0	0.20889364852745435	0.1947073549697416	18026
ZHX1	4	0	0.20884131288543628	0.34412403385300205	18027
CYTH3	4	0	0.20876313313954614	0.1952866497005848	18028
STAR	2	0	0.20869613622409278	0.20869613622409278	18029
PRSS48	2	0	0.20861852385940116	0.20861852385940116	18030
NUCB1	4	0	0.2085909522000583	0.27456177772989226	18031
SLC43A1	4	0	0.2085767702762487	0.3446791709420489	18032
CPHL1P	2	0	0.20853745656744585	0.20853745656744585	18033
