gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
SLC6A14	2	0	2	2	2	2	2	0.9832556093637982	all_down
SLC25A18	3	3	0	2	2	2	2	0.9831768600423292	all_up
MYBL1	3	0	3	2	2	2	2	0.9828571428571428	all_down
GLRB	3	3	0	2	2	2	2	0.9824171053345634	all_up
KITLG	3	0	3	2	2	2	2	0.9820408163265306	all_down
CRABP2	3	0	3	2	2	2	2	0.9817006802721088	all_down
BMP2	2	2	0	2	2	2	2	0.9809804712029707	all_up
RASSF5	3	3	0	2	2	2	2	0.9807890595322082	all_up
PDZK1	3	0	3	2	2	2	2	0.9806805231453845	all_down
RGL1	3	3	0	2	2	2	2	0.9804761904761904	all_up
ANXA6	3	0	3	2	2	2	2	0.9792152819232648	all_down
AFAP1L2	3	0	3	2	2	2	2	0.9788896727627936	all_down
APOA1	2	0	2	2	2	2	2	0.9782355472172046	all_down
KRT81	3	3	0	2	2	2	2	0.9781841862484398	all_up
HPDL	3	0	3	2	2	2	2	0.9772073587670268	all_down
FAM102B	3	0	3	2	2	2	2	0.9770068027210884	all_down
MCTP2	3	3	0	2	2	2	2	0.9768707482993196	all_up
FGFBP2	3	0	3	2	2	2	2	0.9764625850340136	all_down
FREM2	3	0	3	2	2	2	2	0.976326530612245	all_down
ST8SIA4	3	0	3	2	2	2	2	0.9759591903185544	all_down
WNT5A	3	3	0	2	2	2	2	0.97578231292517	all_up
CAPN2	3	3	0	2	2	2	2	0.9754707765778478	all_up
SOCS2	3	3	0	2	2	2	2	0.9754165083844358	all_up
GPR37	3	3	0	2	2	2	2	0.9748299319727892	all_up
SOX21	2	2	0	2	2	2	2	0.9744086760443582	all_up
HSD17B11	3	3	0	2	2	2	2	0.9738969989689044	all_up
RAB27B	3	3	0	2	2	2	2	0.9735171216150216	all_up
SMTNL2	2	0	2	2	2	2	2	0.9734031787132826	all_down
NR2F1	3	3	0	2	2	2	2	0.9729931972789116	all_up
ARTN	3	0	3	2	2	2	2	0.9724489795918368	all_down
NECAB1	2	0	2	2	2	2	2	0.9720068583684649	all_down
NEURL1	3	0	3	2	2	2	2	0.971889075812666	all_down
CA12	3	0	3	2	2	2	2	0.9717687074829932	all_down
GSTO2	3	0	3	2	2	2	2	0.9712244897959184	all_down
VEGFC	3	3	0	2	2	2	2	0.971156462585034	all_up
ST6GALNAC4	3	0	3	2	2	2	2	0.970408163265306	all_down
GFRA3	3	3	0	2	2	2	2	0.9702610300103108	all_up
CADPS2	3	3	0	2	2	2	2	0.96993542084984	all_up
PDE3B	3	0	3	2	2	2	2	0.9693197278911564	all_down
