gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
VEZF1	all_breast_lines	1776	GSK2256098C	FAK1	Cytoskeleton	GDSC2	LN_IC50	37	0.30559506875296344	0.06586514753826186	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1005	Cisplatin	DNA crosslinker	DNA replication	GDSC2	LN_IC50	46	0.27351218008017264	0.06587936955094506	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	410	MetAP2 Inhibitor, A832234	MetAP2	Other	GDSC1	LN_IC50	43	-0.28163696768347934	0.06730537776267452	higher_expression_more_sensitive	0.8462722804136206
VEZF1	all_breast_lines	1014	Refametinib	MEK1, MEK2	ERK MAPK signaling	GDSC2	AUC	45	0.2749670619235836	0.06754285415218579	higher_expression_more_resistant	0.8748910234836543
VEZF1	all_breast_lines	1495	Olaparib	PARP1, PARP2	Genome integrity	GDSC1	AUC	42	0.28466088647597443	0.06767775431512622	higher_expression_more_resistant	0.9227749145359531
VEZF1	all_breast_lines	1133	Serdemetan	MDM2	p53 pathway	GDSC2	LN_IC50	45	0.27470355731225293	0.06781682094109502	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1249	BMS-345541	IKK-1, IKK-2	Other	GDSC2	LN_IC50	40	0.2915572232645404	0.06794316234278665	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1050	ZM447439	AURKA, AURKB	Mitosis	GDSC2	AUC	45	0.27444005270092225	0.06809166858954406	higher_expression_more_resistant	0.8748910234836543
VEZF1	all_breast_lines	1038	NU7441	DNAPK	Genome integrity	GDSC2	LN_IC50	45	0.2740447957839262	0.06850559570923957	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1170	CCT-018159	HSP90	Protein stability and degradation	GDSC1	LN_IC50	42	0.2830402722631878	0.06932509822712468	higher_expression_more_resistant	0.8462722804136206
VEZF1	all_breast_lines	1806	Oxaliplatin	DNA alkylating agent	DNA replication	GDSC2	LN_IC50	37	0.3018018018018018	0.06946666612405658	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1069	EHT-1864	RAC1, RAC2, RAC3	Cytoskeleton	GDSC2	LN_IC50	44	0.2754052149400986	0.07038731448172596	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1057	Dactolisib	PI3K (class 1), MTORC1, MTORC2	PI3K/MTOR signaling	GDSC2	AUC	45	0.27206851119894593	0.07060524049166333	higher_expression_more_resistant	0.8748910234836543
VEZF1	all_breast_lines	1409	AZD4877	EG5	Mitosis	GDSC1	LN_IC50	44	0.27512332628611696	0.07068699249772262	higher_expression_more_resistant	0.8462722804136206
VEZF1	all_breast_lines	1401	AZD5438	CDK2	Cell cycle	GDSC2	LN_IC50	37	0.30014224751066854	0.07109015430895745	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1429	IAP_7638	IAP	Other	GDSC1	LN_IC50	44	0.2737138830162086	0.07220053823336578	higher_expression_more_resistant	0.8462722804136206
VEZF1	all_breast_lines	1043	JNK Inhibitor VIII	JNK	JNK and p38 signaling	GDSC2	LN_IC50	42	0.2794749209950571	0.07306071984775508	higher_expression_more_resistant	0.32034315625554155
VEZF1	all_breast_lines	1594	OSI-027	MTORC1, MTORC2	PI3K/MTOR signaling	GDSC2	LN_IC50	45	0.26837944664031615	0.07466052422955395	higher_expression_more_resistant	0.32239771826398295
VEZF1	all_breast_lines	1067	CCT007093	PPM1D	Cell cycle	GDSC2	LN_IC50	43	0.2736333434007852	0.07581206663130899	higher_expression_more_resistant	0.3224841640287024
